Year,Mo,Dy,TSU ,EQ,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Agent
1958,7,12,0,0,Mahawu,Sulawesi-Indonesia,Indonesia,1.352,124.865,1299,Stratovolcano,2,M
1958,10,7,1,0,Kuwae,Vanuatu-SW Pacific,Vanuatu,-16.829,168.536,-2,Caldera,2,
1960,5,25,1,1,Puyehue-Cordon Caulle,Chile-C,Chile,-40.59,-72.117,2236,Stratovolcano,3,
1961,1,25,0,0,Calbuco,Chile-S,Chile,-41.33,-72.618,1974,Stratovolcano,3,
1961,5,8,0,0,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,3,P
1961,8,18,0,0,Asamayama,Honshu-Japan,Japan,36.406,138.523,2568,Complex volcano,2,T
1962,6,29,0,0,Tokachidake,Hokkaido-Japan,Japan,43.418,142.686,2077,Stratovolcano,3,T
1962,12,31,0,0,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.33,1715,Stratovolcano,2,
1963,3,17,0,0,Irazu,Costa Rica,Costa Rica,9.979,-83.852,3432,Stratovolcano,3,T
1963,3,18,1,0,Agung,Lesser Sunda Is,Indonesia,-8.343,115.508,2997,Stratovolcano,5,"P,T,M,A"
1963,5,5,0,0,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,2,T
1963,5,16,0,1,Agung,Lesser Sunda Is,Indonesia,-8.343,115.508,2997,Stratovolcano,3,
1963,5,21,0,0,Villarrica,Chile-C,Chile,-39.42,-71.93,2847,Stratovolcano,2,M
1963,9,5,0,0,Batur,Lesser Sunda Is,Indonesia,-8.242,115.375,1717,Caldera,2,
1963,9,28,0,0,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,3,M
1963,12,10,0,0,Irazu,Costa Rica,Costa Rica,9.979,-83.852,3432,Stratovolcano,3,"M,T"
1964,1,1,0,0,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875,Stratovolcano,2,
1964,3,3,0,0,Villarrica,Chile-C,Chile,-39.42,-71.93,2847,Stratovolcano,2,M
1964,12,13,0,0,Dieng Volcanic Complex,Java,Indonesia,-7.2,109.879,2565,Complex volcano,1,
1965,9,28,1,0,Taal,Luzon-Philippines,Philippines,14.002,120.993,311,Stratovolcano,4,"P,W"
1966,1,13,1,0,Tinakula,Santa Cruz Is-SW Pac,Solomon Is.,-10.386,165.804,796,Stratovolcano,3,
1966,4,26,0,0,Kelut,Java,Indonesia,-7.93,112.308,1731,Stratovolcano,4,"M,m,P"
1966,8,12,0,0,Awu,Sangihe Is-Indonesia,Indonesia,3.689,125.447,1318,Stratovolcano,4,"P,M,I"
